timelst,communicative,organizational,typical,supportive,entropy_for_peripheral_developer,communicative_standard,organizational_standard,typical_standard,supportive_standard,entropy_for_peripheral_developer_standard
2018-08-18,4,0,2,6,80.0714410311623,-0.0621305287135154,-0.6048151289613374,1.1673749757973078,0.630241103404733,-0.0943018404985184
2018-08-19,4,1,1,3,28.28444845628584,-0.0621305287135154,0.97333507038167,0.1092201825464417,-0.6667388945765543,-0.8693276043438579
2018-08-20,5,0,2,7,103.90849720622828,0.820347885909671,-0.6048151289613374,1.1673749757973078,1.0625677693984954,0.2624350880495832
2018-08-21,4,0,2,9,70.42083423820345,-0.0621305287135154,-0.6048151289613374,1.1673749757973078,1.9272211013860203,-0.238729399030127
2018-08-22,5,0,2,6,108.76942919319184,0.820347885909671,-0.6048151289613374,1.1673749757973078,0.630241103404733,0.3351820721643616
2018-08-23,3,0,0,3,32.58622328502526,-0.944608943336702,-0.6048151289613374,-0.9489346107044244,-0.6667388945765543,-0.804948767945626
2018-08-24,3,0,2,3,41.01963967084257,-0.944608943336702,-0.6048151289613374,1.1673749757973078,-0.6667388945765543,-0.6787372493525431
2018-08-25,4,0,2,4,49.59736777984683,-0.0621305287135154,-0.6048151289613374,1.1673749757973078,-0.2344122285827918,-0.5503660126925521
2018-08-26,4,0,2,6,382.49067997252814,-0.0621305287135154,-0.6048151289613374,1.1673749757973078,0.630241103404733,4.431597231998789
2018-08-27,5,0,2,6,71.77267980763963,0.820347885909671,-0.6048151289613374,1.1673749757973078,0.630241103404733,-0.2184981576901637
2018-08-28,4,0,2,8,136.5414271063014,-0.0621305287135154,-0.6048151289613374,1.1673749757973078,1.494894435392258,0.7508079431781749
2018-08-29,5,1,2,8,95.72966564267168,0.820347885909671,0.97333507038167,1.1673749757973078,1.494894435392258,0.1400335956141452
2018-08-30,4,0,1,6,41.63887143572072,-0.0621305287135154,-0.6048151289613374,0.1092201825464417,0.630241103404733,-0.6694700463791692
2018-08-31,5,1,1,5,158.22237305638092,0.820347885909671,0.97333507038167,0.1092201825464417,0.1979144374109706,1.075277290795818
2018-09-01,5,2,2,5,275.66789573284024,0.820347885909671,2.5514852697246773,1.1673749757973078,0.1979144374109706,2.832925329363255
2018-09-02,5,0,2,3,70.31742557615982,0.820347885909671,-0.6048151289613374,1.1673749757973078,-0.6667388945765543,-0.2402769763908458
2018-09-03,5,0,1,8,134.53619923434047,0.820347885909671,-0.6048151289613374,0.1092201825464417,1.494894435392258,0.7207984140304169
2018-09-04,5,1,1,9,110.94198705979096,0.820347885909671,0.97333507038167,0.1092201825464417,1.9272211013860203,0.3676958026657936
2018-09-05,5,1,2,7,179.24804229954495,0.820347885909671,0.97333507038167,1.1673749757973078,1.0625677693984954,1.3899399996214337
2018-09-06,4,0,2,7,78.7710521697409,-0.0621305287135154,-0.6048151289613374,1.1673749757973078,1.0625677693984954,-0.1137629989962224
2018-09-07,5,0,2,7,120.25170615714372,0.820347885909671,-0.6048151289613374,1.1673749757973078,1.0625677693984954,0.507021756845873
2018-09-08,5,1,2,4,55.45620755510664,0.820347885909671,0.97333507038167,1.1673749757973078,-0.2344122285827918,-0.4626846945410311
2018-09-09,4,1,2,5,96.60415182348174,-0.0621305287135154,0.97333507038167,1.1673749757973078,0.1979144374109706,0.1531208456465658
2018-09-10,4,0,2,7,97.36159685919668,-0.0621305287135154,-0.6048151289613374,1.1673749757973078,1.0625677693984954,0.1644564994118823
2018-09-11,4,1,2,6,130.88753937864357,-0.0621305287135154,0.97333507038167,1.1673749757973078,0.630241103404733,0.6661938646817609
2018-09-12,5,1,2,7,162.606173339671,0.820347885909671,0.97333507038167,1.1673749757973078,1.0625677693984954,1.1408836910553026
2018-09-13,5,1,2,5,134.45768738683606,0.820347885909671,0.97333507038167,1.1673749757973078,0.1979144374109706,0.719623433566065
2018-09-14,5,0,2,8,179.24673265014152,0.820347885909671,-0.6048151289613374,1.1673749757973078,1.494894435392258,1.3899203998729486
2018-09-15,4,0,1,3,53.12908882056167,-0.0621305287135154,-0.6048151289613374,0.1092201825464417,-0.6667388945765543,-0.4975115281748207
2018-09-16,1,0,1,3,54.58924203811505,-2.709565772583075,-0.6048151289613374,0.1092201825464417,-0.6667388945765543,-0.4756593929860601
2018-09-17,5,0,1,4,62.92271922963358,0.820347885909671,-0.6048151289613374,0.1092201825464417,-0.2344122285827918,-0.3509435289299252
2018-09-18,3,0,3,5,107.70602872009675,-0.944608943336702,-0.6048151289613374,2.225529769048174,0.1979144374109706,0.3192675978348782
2018-09-19,5,0,2,7,134.0231972360569,0.820347885909671,-0.6048151289613374,1.1673749757973078,1.0625677693984954,0.7131210080679242
2018-09-20,4,0,1,2,84.97793186384912,-0.0621305287135154,-0.6048151289613374,0.1092201825464417,-1.0990655605703168,-0.0208730388567707
2018-09-21,3,0,0,0,46.77440509560728,-0.944608943336702,-0.6048151289613374,-0.9489346107044244,-1.9637188925578417,-0.5926134710190094
2018-09-22,3,0,0,3,22.853496664211537,-0.944608943336702,-0.6048151289613374,-0.9489346107044244,-0.6667388945765543,-0.9506053026958876
2018-09-23,4,0,0,5,18.824304047658423,-0.0621305287135154,-0.6048151289613374,-0.9489346107044244,0.1979144374109706,-1.0109047703818912
2018-09-24,3,0,0,2,54.9976107769051,-0.944608943336702,-0.6048151289613374,-0.9489346107044244,-1.0990655605703168,-0.4695478912753998
2018-09-25,5,1,2,7,128.0917431035015,0.820347885909671,0.97333507038167,1.1673749757973078,1.0625677693984954,0.6243529691988838
2018-09-26,4,0,2,5,94.88301943465136,-0.0621305287135154,-0.6048151289613374,1.1673749757973078,0.1979144374109706,0.1273629887406337
2018-09-27,5,0,2,6,116.00056126876902,0.820347885909671,-0.6048151289613374,1.1673749757973078,0.630241103404733,0.4434006301784751
2018-09-28,4,0,1,6,76.68138037556011,-0.0621305287135154,-0.6048151289613374,0.1092201825464417,0.630241103404733,-0.1450362859346248
2018-09-29,3,0,2,2,25.480368059161336,-0.944608943336702,-0.6048151289613374,1.1673749757973078,-1.0990655605703168,-0.9112924770582366
2018-09-30,3,0,1,3,8.921928094887363,-0.944608943336702,-0.6048151289613374,0.1092201825464417,-0.6667388945765543,-1.159100216865557
2018-10-01,4,0,2,4,80.3756027295858,-0.0621305287135154,-0.6048151289613374,1.1673749757973078,-0.2344122285827918,-0.0897498643954008
2018-10-02,4,0,1,2,47.52043208703689,-0.0621305287135154,-0.6048151289613374,0.1092201825464417,-1.0990655605703168,-0.581448695654887
2018-10-03,4,0,1,7,61.43426072781845,-0.0621305287135154,-0.6048151289613374,0.1092201825464417,1.0625677693984954,-0.3732192709640554
2018-10-04,5,0,2,6,129.47546862383996,0.820347885909671,-0.6048151289613374,1.1673749757973078,0.630241103404733,0.64506131457735
